Datetime,Tweet Id,Link,Text,Username,Total replycount,Total retweetcount,Source,Total likecount
2022-05-10 11:45:14+00:00,1523992556069130245,https://twitter.com/jack/status/1523992556069130245,@surferjimw follow the surf topic to start,jack,26,10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",109
2022-05-10 11:03:10+00:00,1523981968278491138,https://twitter.com/jack/status/1523981968278491138,https://t.co/xIHxYcbALK,jack,144,107,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",785
2022-05-10 11:03:00+00:00,1523981927480532993,https://twitter.com/jack/status/1523981927480532993,"@YarKafanchan @cchukudebelu it's true there are many twitters, not just one",jack,24,29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",335
2022-05-09 06:40:38+00:00,1523553513942716416,https://twitter.com/jack/status/1523553513942716416,❤️❤️❤️,jack,213,162,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1914
2022-05-07 17:39:56+00:00,1522994657990520832,https://twitter.com/jack/status/1522994657990520832,"@anildash I made this website, and encourage others to make their own too",jack,45,38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",486
2022-05-07 14:15:20+00:00,1522943164608352256,https://twitter.com/jack/status/1522943164608352256,the web is great,jack,574,369,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2334
2022-05-06 23:04:21+00:00,1522713908779266055,https://twitter.com/jack/status/1522713908779266055,@FiloSottile this is the way,jack,38,36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",786
2022-05-05 14:43:05+00:00,1522225373592891392,https://twitter.com/jack/status/1522225373592891392,@bhorowitz this is true. it needs cover for a while.,jack,46,56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",569
2022-04-29 21:20:49+00:00,1520151140997861376,https://twitter.com/jack/status/1520151140997861376,@brockm 🫂,jack,121,11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",181
2022-04-29 21:15:42+00:00,1520149851664572416,https://twitter.com/jack/status/1520149851664572416,@KEEMSTAR @Timcast @elonmusk was pretty reflective back then too. see previous Joe Rogan episode.,jack,240,38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1713
2022-04-29 21:12:16+00:00,1520148988330086400,https://twitter.com/jack/status/1520148988330086400,"@QWongSJ read my thread again please. right for company, wrong generally.",jack,101,31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",461
2022-04-29 21:10:19+00:00,1520148497252552705,https://twitter.com/jack/status/1520148497252552705,"@eb454 @nypost when I found out we took that action, we reversed it almost immediately. we should have also reinstated the account without requiring a delete of the tweet.",jack,2941,450,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",6132
2022-04-29 20:40:31+00:00,1520140996641624064,https://twitter.com/jack/status/1520140996641624064,"*it’s also crazy and wrong that individuals or companies bear this responsibility. As I’ve said before, I don’t believe any permanent ban (with the exception of illegal activity) is right, or should be possible. This is why we need a protocol that’s resilient to the layers above.",jack,2438,1011,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",11628
